,Time ,Free Energy 
0,0,-26.15456076964999
1,1,-26.681918505055403
2,2,-26.837723092360093
3,3,-26.915012863771445
4,4,-26.961642890131923
5,5,-26.992947276190037
6,6,-27.015436773916733
7,7,-27.032371352298902
8,8,-27.045575893737194
9,9,-27.056155034997197
10,10,-27.06481741601508
11,11,-27.07203854663886
12,12,-27.07814923225526
13,13,-27.083386577961562
14,14,-27.08792486737601
15,15,-27.09189501346179
16,16,-27.095397224584445
17,17,-27.098509489876278
18,18,-27.101293405761453
19,19,-27.103798264638627
20,20,-27.10606398010264
21,21,-27.108123216455706
22,22,-27.110002963503913
23,23,-27.111725717894487
24,24,-27.11331038094326
25,25,-27.114772949214355
26,26,-27.116127051582986
27,27,-27.117384371186446
28,28,-27.118554980080525
29,29,-27.119647606998704
30,30,-27.120669853342157
31,31,-27.121628368740367
32,32,-27.12252899476735
33,33,-27.123376883373595
34,34,-27.12417659509073
35,35,-27.124932180939176
36,36,-27.125647251117606
37,37,-27.12632503290349
38,38,-27.12696841969514
39,39,-27.12758001273928
40,40,-27.128162156787056
41,41,-27.12871697068477
42,42,-27.129246373718846
43,43,-27.12975210838598
44,44,-27.130235760140554
45,45,-27.130698774575876
46,46,-27.131142472418524
47,47,-27.131568062652285
48,48,-27.13197665403679
49,49,-27.132369265244087
50,50,-27.13274683380132
51,51,-27.13311022399934
52,52,-27.133460233902927
53,53,-27.133797601578483
54,54,-27.134123010638348
55,55,-27.13443709518683
56,56,-27.134740444241253
57,57,-27.135033605691255
58,58,-27.13531708985105
59,59,-27.135591372652257
60,60,-27.135856898518462
61,61,-27.136114082957686
62,62,-27.13636331490415
63,63,-27.13660495883684
64,64,-27.13683935669924
65,65,-27.13706682964124
66,66,-27.137287679602146
67,67,-27.137502190751245
68,68,-27.137710630800463
69,69,-27.137913252202196
70,70,-27.138110293243663
71,71,-27.138301979048066
72,72,-27.138488522491535
73,73,-27.138670125044115
74,74,-27.138846977541778
75,75,-27.139019260896166
76,76,-27.13918714674763
77,77,-27.13935079806691
78,78,-27.139510369710006
79,79,-27.13966600893043
80,80,-27.13981785585267
81,81,-27.139966043910164
82,82,-27.140110700250922
83,83,-27.140251946113498
84,84,-27.14038989717583
85,85,-27.140524663879255
86,86,-27.140656351729668
87,87,-27.140785061577752
88,88,-27.140910889879947
89,89,-27.14103392894166
90,90,-27.141154267144188
91,91,-27.141271989156575
92,92,-27.141387176133563
93,93,-27.141499905900734
94,94,-27.141610253127777
95,95,-27.14171828949078
96,96,-27.14182408382439
97,97,-27.14192770226451
98,98,-27.142029208382304
99,99,-27.14212866331007
100,100,-27.142226125859587
101,101,-27.14232165263343
102,102,-27.142415298129844
103,103,-27.142507114841468
104,104,-27.14259715334844
105,105,-27.142685462406227
106,106,-27.142772089028522
107,107,-27.142857078565577
108,108,-27.142940474778186
109,109,-27.1430223199077
110,110,-27.14310265474225
111,111,-27.143181518679476
112,112,-27.14325894978592
113,113,-27.143334984853364
114,114,-27.143409659452225
115,115,-27.14348300798227
116,116,-27.14355506372072
117,117,-27.143625858867978
118,118,-27.14369542459108
119,119,-27.14376379106503
120,120,-27.143830987512082
121,121,-27.14389704223919
122,122,-27.14396198267362
123,123,-27.144025835396924
124,124,-27.144088626177286
125,125,-27.144150380000383
126,126,-27.14421112109884
127,127,-27.144270872980325
128,128,-27.144329658454375
129,129,-27.144387499658034
130,130,-27.144444418080354
131,131,-27.14450043458581
132,132,-27.144555569436687
133,133,-27.14460984231451
134,134,-27.144663272340566
135,135,-27.144715878095536
136,136,-27.14476767763828
137,137,-27.144818688523905
138,138,-27.144868927820994
139,139,-27.14491841212819
140,140,-27.144967157590074
141,141,-27.145015179912427
142,142,-27.145062494376813
143,143,-27.145109115854673
144,144,-27.14515505882079
145,145,-27.145200337366223
146,146,-27.14524496521081
147,147,-27.145288955715085
148,148,-27.145332321891814
149,149,-27.145375076417054
150,150,-27.145417231640796
151,151,-27.14545879959722
152,152,-27.145499792014547
153,153,-27.14554022032454
154,154,-27.145580095671658
